type,neighborhood,address,price,geo,beds,baths,sqft,url
Rental Unit,Hudson Heights,733 West 183rd Street #4H,"$1,825","40.85214454,-73.9369596",1 Bed,1 Bath,NA,https://streeteasy.com/building/731-west-183-street-new_york/4h
Rental Unit,Yorkville,226 East 85th Street #4C,"$2,295","40.77742458,-73.95338657",1 Bed,1 Bath,NA,https://streeteasy.com/building/226-east-85-street-new_york/4c
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Rental Unit,Stuyvesant Heights,699 Quincy Street #1A,"$2,395","40.68946311,-73.93089326",Studio,1 Bath,NA,https://streeteasy.com/building/699-quincy-street-brooklyn/1a
Rental Unit,Fort Hamilton,150 95th Street #1,"$1,900","40.61688404,-74.03662114",1 Bed,1 Bath,NA,https://streeteasy.com/building/150-95-street-brooklyn/1
Rental Unit,Astoria,36-16 Astoria Boulevard South #3E,"$2,300","40.76900805,-73.91339516",1 Bed,1 Bath,NA,https://streeteasy.com/building/36_12-astoria-boulevard-s-astoria/3e
Co-op,Forest Hills,112-15 72 Road #1K,"$1,750","40.72136803,-73.83776937",Studio,1 Bath,NA,https://streeteasy.com/building/112_15-72-road-forest_hills/1k
Rental Unit,Washington Heights,547 West 157th Street #1B,"$2,099","40.83379689,-73.9436768",1 Bed,1 Bath,NA,https://streeteasy.com/building/547-west-157-street-new_york/1b
Rental Unit,Stuyvesant Heights,1086 Broadway #302,"$2,400","40.69420878,-73.93083065",1 Bed,1 Bath,NA,https://streeteasy.com/building/1086-broadway-brooklyn/302
Rental Unit,Murray Hill (Queens),144-25 33rd Avenue #1F,"$2,100","40.76866623,-73.82324594",1 Bed,1 Bath,NA,https://streeteasy.com/building/144_25-33-avenue-flushing/1f
Rental Unit,Hudson Heights,647 West 174th Street #2F,"$2,150","40.84594284,-73.93946301",1 Bed,1 Bath,NA,https://streeteasy.com/building/647-west-174-street-new_york/2f
Rental Unit,Prospect Park South,180 East 17th Street #211,"$1,500","40.64625894,-73.96390327",Studio,1 Bath,NA,https://streeteasy.com/building/180-east-17-street-brooklyn/rental/3894223
