type,place,address,price,beds,baths,sqft,url,work_time,work_lines,friend_time,friend_lines,park_acres,Borough,arrests
Rental Unit,Kew Gardens Hills,150-38 Union Tnpk #8D,1795,Studio,1 Bath,500,https://streeteasy.com/building/150_38-union-turnpike-flushing/8d,69,2,65,3,1.2,Queens,2.7
Rental Unit,Rego Park,65-11 Booth Street #3A,2300,1 Bed,1 Bath,680,https://streeteasy.com/building/65_11-booth-street-rego_park/3a,57,1,47,2,0,Queens,1.9
Co-op,Hudson Heights,340 Haven Avenue #2D,2200,1 Bed,1 Bath,NA,https://streeteasy.com/building/lafayette-gardens-340-haven-avenue-new_york/2d?featured=1,47,1,74,2,21.4,Manhattan,5
Rental Unit,Weeksville,201 Troy Avenue #3C,2349,1 Bed,1 Bath,NA,https://streeteasy.com/building/201-troy-avenue-brooklyn/3c,45,1,88,2,12.6,Brooklyn,5.5
Rental Unit,Kew Gardens,83-46 118th Street #5R,1850,1 Bed,1 Bath,850,https://streeteasy.com/building/83_46-118-street-kew_gardens/5r,63,1,65,3,34.4,Queens,0.6
Rental Unit,Kew Gardens,83-46 118th Street #1L,1700,1 Bed,1 Bath,750,https://streeteasy.com/building/83_46-118-street-kew_gardens/1l,63,1,65,3,34.4,Queens,0.6
Rental Unit,Kensington,200 East 8th Street #4F,1950,1 Bed,1 Bath,NA,https://streeteasy.com/building/200-east-8-street-brooklyn/4f,48,2,82,2,13.4,Brooklyn,2.1
Rental Unit,Bedford-Stuyvesant,659 Greene Avenue #1,2300,1 Bed,1 Bath,700,https://streeteasy.com/building/659-greene-avenue-brooklyn/rental/3899041,47,1,62,3,8,Brooklyn,361.3
Rental Unit,Financial District,160 Front Street #4H,2400,Studio,1 Bath,NA,https://streeteasy.com/building/156-front-street-new_york/4h,15,0,62,1,1.3,Manhattan,3.6
Rental Unit,East Harlem,311 East 109th Street #FOURE,2100,1 Bed,1 Bath,NA,https://streeteasy.com/building/311-east-109-street-new_york/foure,45,1,47,2,3.3,Manhattan,10.5
Condo,Astoria,12-15 Broadway #126,2180,Studio,1 Bath,NA,https://streeteasy.com/building/12_15-broadway-astoria/126,52,2,24,1,12.4,Queens,10.8
Rental Unit,East Harlem,311 East 109th Street #ONED,1958,1 Bed,1 Bath,NA,https://streeteasy.com/building/311-east-109-street-new_york/oned,45,1,47,2,3.3,Manhattan,10.5
Rental Unit,Bay Ridge,140 Bay Ridge Parkway #67,1625,1 Bed,1 Bath,NA,https://streeteasy.com/building/140-bay-ridge-parkway-brooklyn/67,54,1,88,2,27.7,Brooklyn,1.2
Rental Unit,East Harlem,319 East 108th Street #6B,2325,1 Bed,1 Bath,NA,https://streeteasy.com/building/319-east-108-street-new_york/6b,48,1,51,2,3.4,Manhattan,4.3
Rental Unit,Rego Park,65-62 Saunders Street #6C,1900,1 Bed,1 Bath,550,https://streeteasy.com/building/65_62-saunders-street-rego_park/6c,64,1,55,2,0.5,Queens,2.7
Rental Unit,Hamilton Heights,48 Saint Nicholas' Place #BSMT,2100,1 Bed,1 Bath,NA,https://streeteasy.com/building/48-st-nicholas-place-new_york/bsmt,45,1,55,2,12.6,Manhattan,70.1
Rental Unit,Fort Hamilton,137 88th Street #3C,1625,1 Bed,1 Bath,NA,https://streeteasy.com/building/147-88-street-brooklyn/3c,54,1,88,2,30.8,Brooklyn,1.3
Rental Unit,Bay Ridge,7520 Ridge Boulevard #1E,1600,Studio,1 Bath,NA,https://streeteasy.com/building/7520-ridge-boulevard-brooklyn/1e,54,1,88,2,27.7,Brooklyn,1.2
Rental Unit,Murray Hill (Queens),144-45 35th Avenue #1D,1650,Studio,1 Bath,550,https://streeteasy.com/building/144_45-35-avenue-flushing/1d,67,2,62,3,3,Queens,2.1
Rental Unit,Astoria,25-16 33rd Street #21,2200,1 Bed,1 Bath,700,https://streeteasy.com/building/25_16-33-street-astoria/21,43,1,15,0,0.9,Queens,188.7
Rental Unit,Kew Gardens,83-46 118th Street #5I,1850,1 Bed,1 Bath,750,https://streeteasy.com/building/83_46-118-street-kew_gardens/5i,63,1,65,3,34.4,Queens,0.6
Rental Unit,Kensington,465 East Seventh Street #35,2000,1 Bed,1 Bath,800,https://streeteasy.com/building/465-east-7-street-brooklyn/35,48,2,82,2,6.6,Brooklyn,1.2
Rental Unit,Fort Hamilton,8829 Ft Hamilton Parkway #I2,1600,Studio,1 Bath,450,https://streeteasy.com/building/8829-ft-hamilton-parkway-brooklyn/i2,54,1,88,2,2.2,Brooklyn,7.3
